Day	Time	Weather	LocationRank	Side of Town	Incident Rank	Nature	EMSSTAT
2024-00001823	5	7	0	11	N	17	Hemorrhage/Lacerations	1
2024-00002273	5	7	0	11	N	17	Hemorrhage/Lacerations	1
2024-00007347	5	7	1	191	S	11	Trespassing	0
2024-00007348	5	7	1	191	N	6	Suspicious	0
2024-00007351	5	7	1	191	N	7	Alarm	0
2024-00007352	5	8	1	191	SE	27	Animal at Large	0
2024-00007350	5	8	0	191	N	25	Animal Dead	0
2024-00007353	5	8	3	191	NE	27	Animal at Large	0
2024-00007354	5	8	3	191	NW	27	Animal at Large	0
2024-00007355	5	8	0	191	NE	15	MVA Non Injury	0
2024-00001824	5	8	1	66	SE	27	Medical Call Pd Requested	1
2024-00002274	5	8	1	66	SE	27	Medical Call Pd Requested	1
2024-00007356	5	8	1	191	SW	9	Larceny	0
2024-00007357	5	8	1	191	N	9	Larceny	0
2024-00007369	5	8	1	191	N	17	Harassment / Threats Report	0
2024-00007359	5	8	1	191	SE	73	Barking Dog	0
2024-00002276	5	8	1	11	N	3	Sick Person	1
2024-00007358	5	8	1	191	W	4	Disturbance/Domestic	0
2024-00007360	5	8	1	191	W	32	Burglary	0
2024-00001825	5	8	1	66	SE	32	Convulsion/Seizure	1
2024-00002277	5	8	1	66	SE	82	Assist Fire	1
2024-00001826	5	8	1	34	W	19	Cardiac Respritory Arrest	1
2024-00002278	5	8	1	34	W	19	Cardiac Respritory Arrest	1
2024-00002279	5	8	1	2	NW	2	Transfer/Interfacility	1
2024-00007367	5	9	0	191	NE	9	Larceny	0
2024-00007361	5	9	1	191	SE	73	Animal Livestock	0
2024-00007362	5	9	0	21	N	16	Parking Problem	0
2024-00007364	5	9	1	191	NE	82	Animal Injured	0
2024-00007363	5	9	1	191	NE	4	Disturbance/Domestic	0
2024-00007366	5	9	1	11	NE	5	Contact a Subject	0
2024-00007365	5	9	1	191	SE	38	Mutual Aid	0
2024-00002280	5	9	1	5	N	2	Transfer/Interfacility	1
2024-00007368	5	9	1	191	SE	1	Traffic Stop	0
2024-00007372	5	9	1	191	N	17	Harassment / Threats Report	0
2024-00007370	5	9	1	191	SE	1	Traffic Stop	0
2024-00007371	5	9	1	66	N	73	Drug Violation	0
2024-00007379	5	9	1	191	W	13	Check Area	0
2024-00007373	5	9	0	191	N	51	COP Problem Solving	0
2024-00002281	5	9	1	5	N	2	Transfer/Interfacility	1
2024-00007374	5	9	1	191	SE	51	Item Assignment	0
2024-00007375	5	9	1	191	NE	64	Animal Complaint	0
2024-00007376	5	9	1	191	SW	1	Traffic Stop	0
2024-00001827	5	9	1	191	SE	23	Public Assist	0
2024-00007377	5	10	71	191	W	1	Traffic Stop	0
2024-00007378	5	10	1	191	NE	48	Stolen Vehicle	0
2024-00002282	5	10	1	2	NW	2	Transfer/Interfacility	1
2024-00007389	5	10	1	34	NW	51	Assault	0
2024-00007387	5	10	1	15	SE	27	Fraud	0
2024-00007383	5	10	1	191	SE	25	Animal Dead	0
2024-00007381	5	10	1	66	E	5	Contact a Subject	0
2024-00001828	5	10	1	66	N	23	Chest Pain	1
2024-00002283	5	10	1	66	N	23	Chest Pain	1
2024-00002284	5	10	1	191	S	10	Falls	1
2024-00002287	5	10	1	1	N	2	Transfer/Interfacility	1
2024-00007386	5	10	63	66	W	17	Harassment / Threats Report	0
2024-00007382	5	10	1	191	S	16	Parking Problem	0
2024-00007384	5	10	1	191	SE	16	Parking Problem	0
2024-00001829	5	10	1	66	E	3	Sick Person	1
2024-00002285	5	10	1	66	E	3	Sick Person	1
2024-00001830	5	10	0	11	N	10	Falls	1
2024-00002286	5	10	0	11	N	10	Falls	1
2024-00007388	5	10	1	191	NE	42	Animal Trapped	0
2024-00007399	5	10	1	4	NE	48	Found Item	0
2024-00007391	5	11	2	66	N	9	Larceny	0
2024-00001831	5	11	1	66	SE	17	Hemorrhage/Lacerations	1
2024-00002288	5	11	1	66	SE	17	Hemorrhage/Lacerations	1
2024-00007401	5	11	2	34	NW	51	Assault	0
2024-00007390	5	11	0	191	E	4	Disturbance/Domestic	0
2024-00001832	5	11	3	66	NE	3	Sick Person	1
2024-00002289	5	11	3	66	NE	3	Sick Person	1
2024-00007392	5	11	0	191	N	1	Traffic Stop	0
2024-00007393	5	11	51	191	NW	51	Item Assignment	0
2024-00001833	5	11	1	66	S	3	Sick Person	1
2024-00002290	5	11	1	66	S	3	Sick Person	1
2024-00007395	5	11	2	66	N	27	Animal at Large	0
2024-00007398	5	11	0	191	E	27	Fraud	0
2024-00007394	5	11	2	66	N	5	Contact a Subject	0
2024-00007396	5	11	2	191	NW	1	Traffic Stop	0
2024-00007397	5	11	3	191	NE	1	Traffic Stop	0
2024-00001834	5	11	2	66	W	11	Breathing Problems	1
2024-00002291	5	11	2	66	W	11	Breathing Problems	1
2024-00007400	5	11	2	66	SE	4	Disturbance/Domestic	0
2024-00007402	5	11	0	191	NE	38	Runaway or Lost Child	0
2024-00007404	5	11	2	191	W	32	Supplement Report	0
2024-00007403	5	12	1	191	N	14	Follow Up	0
2024-00007405	5	12	2	191	SE	6	Suspicious	0
2024-00007406	5	12	0	191	NW	42	Animal Trapped	0
2024-00007420	5	12	1	191	W	9	Larceny	0
2024-00001835	5	12	1	66	NW	3	Sick Person	1
2024-00002292	5	12	1	66	NW	3	Sick Person	1
2024-00007416	5	12	0	191	E	42	Animal Trapped	0
2024-00007407	5	12	2	66	SE	4	Disturbance/Domestic	0
2024-00007408	5	12	3	191	NE	1	Traffic Stop	0
2024-00007409	5	12	1	191	N	15	MVA Non Injury	0
2024-00001838	5	12	2	21	SE	3	Sick Person	1
2024-00002295	5	12	2	21	SE	3	Sick Person	1
2024-00007410	5	12	2	21	SE	4	Disturbance/Domestic	1
2024-00007424	5	12	2	21	SE	32	Burglary	1
2024-00001836	5	12	3	34	NE	27	MVA With Injuries	1
2024-00002293	5	12	3	34	NE	27	MVA With Injuries	1
2024-00007411	5	12	3	34	NE	32	Hit and Run	1
2024-00007417	5	12	53	191	W	27	Animal at Large	0
2024-00002294	5	12	1	34	W	82	EMS Mutual Aid	1
2024-00007412	5	12	1	34	N	32	Hit and Run	0
2024-00007415	5	12	2	191	S	38	Mutual Aid	0
2024-00007413	5	12	2	191	SE	51	COP Problem Solving	0
2024-00001837	5	12	1	191	SE	23	Public Assist	0
2024-00007414	5	12	1	66	N	1	Traffic Stop	0
2024-00002296	5	12	1	191	E	3	Sick Person	1
2024-00007418	5	13	0	191	NE	13	Check Area	0
2024-00001839	5	13	3	66	SW	10	Falls	1
2024-00002297	5	13	3	66	SW	10	Falls	1
2024-00002299	5	13	3	2	NW	2	Transfer/Interfacility	1
2024-00002298	5	13	3	1	N	2	Transfer/Interfacility	1
2024-00007423	5	13	1	191	SE	11	Trespassing	0
2024-00007421	5	13	3	66	N	73		0
2024-00007422	5	13	0	191	E	16	Parking Problem	0
2024-00001841	5	13	3	7	SE	3	Sick Person	1
2024-00002301	5	13	3	7	SE	3	Sick Person	1
2024-00007425	5	13	3	7	SE	14	Follow Up	1
2024-00007428	5	13	3	191	NW	13	Check Area	0
2024-00007426	5	13	3	66	N	73	Fight	0
2024-00007427	5	13	3	191	SE	1	Traffic Stop	0
2024-00007429	5	13	1	191	NE	5	Contact a Subject	0
2024-00007432	5	13	3	66	NE	17	Harassment / Threats Report	0
2024-00002307	5	13	3	1	N	2	Transfer/Interfacility	1
2024-00007430	5	13	3	191	N	1	Traffic Stop	0
2024-00001840	5	13	3	66	NE	32	Diabetic Problems	1
2024-00002300	5	13	3	66	NE	32	Diabetic Problems	1
2024-00007431	5	13	53	191	W	5	Contact a Subject	0
2024-00007433	5	13	0	66	N	9	Larceny	0
2024-00007443	5	13	0	191	E	15	MVA Non Injury	0
2024-00007434	5	13	3	191	SE	51	COP Problem Solving	0
2024-00007435	5	13	53	191	NW	5	Contact a Subject	0
2024-00007436	5	13	0	191	N	1	Traffic Stop	0
2024-00007478	5	13	1	191	NE	32	Burglary	0
2024-00007437	5	13	0	191	E	1	Traffic Stop	0
2024-00002303	5	13	3	1	N	2	Transfer/Interfacility	1
2024-00007440	5	13	53	191	W	16	Parking Problem	0
2024-00007439	5	13	3	191	SE	5	Contact a Subject	0
2024-00007441	5	13	3	191	W	1	Traffic Stop	0
2024-00007442	5	14	3	21	NE	14	Follow Up	0
2024-00007461	5	14	61	34	W	9	Larceny	0
2024-00007444	5	14	2	191	NE	1	Traffic Stop	0
2024-00007445	5	14	2	191	N	1	Traffic Stop	0
2024-00007448	5	14	0	191	N	8	Welfare Check	0
2024-00007446	5	14	2	191	N	1	Traffic Stop	0
2024-00007447	5	14	2	34	NW	14	Follow Up	0
2024-00002302	5	14	2	1	N	2	Transfer/Interfacility	1
2024-00007455	5	14	1	66	SE	48	Found Item	0
2024-00007458	5	14	2	34	SW	27	Fraud	0
2024-00007449	5	14	1	191	NE	16	Parking Problem	0
2024-00002308	5	14	2	1	N	2	Transfer/Interfacility	1
2024-00007454	5	14	2	191	W	19	911 Call Nature Unknown	0
2024-00007451	5	14	1	191	NE	4	Disturbance/Domestic	0
2024-00007450	5	14	1	191	NE	73	Stake Out	0
2024-00007453	5	14	2	191	SE	13	Check Area	0
2024-00007452	5	14	2	66	N	1	Traffic Stop	0
2024-00007456	5	14	2	191	E	1	Traffic Stop	0
2024-00007457	5	14	2	191	N	25	Animal Dead	0
2024-00001842	5	14	1	66	N	19	Allergies/Envenomations	1
2024-00002304	5	14	1	66	N	19	Allergies/Envenomations	1
2024-00001843	5	14	2	7	SE	3	Sick Person	1
2024-00002305	5	14	2	7	SE	3	Sick Person	1
2024-00007459	5	14	3	191	E	19	911 Call Nature Unknown	0
2024-00002342	5	14	2	2	NW	2	Transfer/Interfacility	1
2024-00007460	5	14	3	34	NE	5	Contact a Subject	0
2024-00002327	5	14	2	1	N	2	Transfer/Interfacility	1
2024-00007464	5	14	2	66	N	5	Contact a Subject	0
2024-00007462	5	14	2	191	SE	48	Stolen Vehicle	0
2024-00007463	5	14	2	191	S	14	Follow Up	0
2024-00001844	5	15	1	66	NW	19	Allergies/Envenomations	1
2024-00002306	5	15	1	66	NW	19	Allergies/Envenomations	1
2024-00007466	5	15	1	191	NW	73	Animal Livestock	0
2024-00007465	5	15	1	191	W	1	Traffic Stop	0
2024-00007473	5	15	3	191	NE	7	Alarm	0
2024-00007467	5	15	0	191	NW	1	Traffic Stop	0
2024-00007469	5	15	1	11	NE	4	Disturbance/Domestic	0
2024-00007475	5	15	1	191	SE	9	Larceny	0
2024-00007468	5	15	3	34	NE	4	Disturbance/Domestic	0
2024-00007470	5	15	0	191	S	5	Contact a Subject	0
2024-00007472	5	15	1	191	SE	38	Mutual Aid	0
2024-00007471	5	15	0	191	N	1	Traffic Stop	0
2024-00007488	5	15	1	66	NE	51	Missing Person	0
2024-00007474	5	15	51	191	NE	64	Road Rage	0
2024-00007476	5	15	1	34	W	51	Assault	0
2024-00007477	5	15	0	191	N	25	Animal Dead	0
2024-00002309	5	15	1	1	N	2	Transfer/Interfacility	1
2024-00007479	5	15	1	191	N	42	COP Relationships	0
2024-00007480	5	15	1	66	W	5	Contact a Subject	0
2024-00007481	5	15	1	191	W	1	Traffic Stop	0
2024-00007508	5	15	1	1	N	45	Escort/Transport	0
2024-00007484	5	15	1	66	SW	9	Larceny	0
2024-00007483	5	15	1	191	NE	8	Welfare Check	0
2024-00002338	5	16	0	2	NW	2	Transfer/Interfacility	1
2024-00001846	5	16	51	34	NE	27	MVA With Injuries	1
2024-00002311	5	16	51	34	NE	27	MVA With Injuries	1
2024-00007482	5	16	51	34	NE	48	Drunk Driver	1
2024-00001845	5	16	0	66	SE	10	Falls	1
2024-00002310	5	16	0	66	SE	10	Falls	1
2024-00007485	5	16	0	191	SE	1	Traffic Stop	0
2024-00007486	5	16	3	7	NE	4	Disturbance/Domestic	0
2024-00007489	5	16	0	15	S	19	911 Call Nature Unknown	0
2024-00002313	5	16	0	3	SE	2	Transfer/Interfacility	1
2024-00002317	5	16	0	2	NW	2	Transfer/Interfacility	1
2024-00002316	5	16	0	3	SE	2	Transfer/Interfacility	1
2024-00001847	5	16	2	34	NE	19	Cardiac Respritory Arrest	1
2024-00002312	5	16	2	34	NE	19	Cardiac Respritory Arrest	1
2024-00007487	5	16	2	34	NE	51	Body Reported	1
2024-00002314	5	16	0	2	NW	2	Transfer/Interfacility	1
2024-00007492	5	16	1	191	E	51	Civil Standby	0
2024-00007490	5	16	0	191	N	6	Suspicious	0
2024-00007491	5	16	0	191	NW	51	Open Door/Premises Check	0
2024-00007493	5	16	0	191	NW	5	Contact a Subject	0
2024-00007501	5	16	0	66	SW	19	911 Call Nature Unknown	0
2024-00007494	5	16	0	191	SE	64	Alarm Holdup/Panic	0
2024-00001848	5	16	0	3	SE	10	Falls	1
2024-00002315	5	16	0	3	SE	10	Falls	1
2024-00002334	5	16	0	3	SE	2	Transfer/Interfacility	1
2024-00007499	5	17	1	191	N	13	Check Area	0
2024-00007502	5	17	2	191	N	32	Hit and Run	0
2024-00002324	5	17	1	1	N	2	Transfer/Interfacility	1
2024-00007495	5	17	2	66	SW	42	Vandalism	0
2024-00007496	5	17	0	191	N	42	COP Relationships	0
2024-00007497	5	17	2	191	E	42	COP Relationships	0
2024-00007498	5	17	1	191	NE	42	COP Relationships	0
2024-00007518	5	17	2	191	SW	27	Fraud	0
2024-00007500	5	17	0	66	SW	6	Suspicious	0
2024-00001849	5	17	1	191	NE	23	Public Assist	0
2024-00007505	5	17	3	191	NW	32	Hit and Run	0
2024-00007503	5	17	0	191	E	14	Follow Up	0
2024-00001851	5	17	0	66	SW	17	Hemorrhage/Lacerations	1
2024-00002319	5	17	0	66	SW	17	Hemorrhage/Lacerations	1
2024-00001850	5	17	1	66	W	3	Sick Person	1
2024-00002318	5	17	1	66	W	3	Sick Person	1
2024-00007504	5	17	2	191	SW	32	Supplement Report	0
2024-00007507	5	17	61	34	W	32	Burglary	0
2024-00007506	5	17	2	34	SW	14	Follow Up	0
2024-00007509	5	17	1	191	E	1	Traffic Stop	0
2024-00007510	5	17	2	191	E	1	Traffic Stop	0
2024-00002329	5	17	1	2	NW	2	Transfer/Interfacility	1
2024-00007511	5	17	2	191	SE	82	Indecent Exposure	0
2024-00002332	5	17	1	1	N	2	Transfer/Interfacility	1
2024-00007512	5	17	2	191	SW	82	Public Intoxication	0
2024-00002320	5	17	1	6	SE	3	Sick Person	1
2024-00002321	5	17	1	11	N	3	Sick Person	1
2024-00007513	5	17	0	191	NE	4	Disturbance/Domestic	0
2024-00001852	5	17	0	11	N	23	Chest Pain	1
2024-00002322	5	17	0	11	N	23	Chest Pain	1
2024-00001853	5	17	1	34	W	19	Cardiac Respritory Arrest	1
2024-00002323	5	17	1	34	W	19	Cardiac Respritory Arrest	1
2024-00007514	5	17	0	66	SW	6	Suspicious	0
2024-00002341	5	18	0	1	N	2	Transfer/Interfacility	1
2024-00007538	5	18	0	191	N	32	Hit and Run	0
2024-00001854	5	18	1	66	SE	3	Sick Person	1
2024-00002325	5	18	1	66	SE	3	Sick Person	1
2024-00007517	5	18	3	4	NE	4	Disturbance/Domestic	0
2024-00007516	5	18	0	191	N	9	Larceny	0
2024-00001855	5	18	0	66	E	10	Falls	1
2024-00002326	5	18	0	66	E	10	Falls	1
2024-00001856	5	18	0	66	N	82	Fire Gas Leak	0
2024-00001857	5	18	3	4	NE	3	Sick Person	1
2024-00002328	5	18	3	4	NE	3	Sick Person	1
2024-00007519	5	18	0	34	N	17	Harassment / Threats Report	0
2024-00002333	5	18	0	5	N	2	Transfer/Interfacility	1
2024-00007521	5	18	1	191	NE	8	Welfare Check	0
2024-00001858	5	18	2	66	NE	32	Convulsion/Seizure	1
2024-00002330	5	18	2	66	NE	32	Convulsion/Seizure	1
2024-00007520	5	18	0	15	SE	4	Disturbance/Domestic	0
2024-00007522	5	18	2	191	E	4	Disturbance/Domestic	0
2024-00007523	5	19	3	191	NE	13	Check Area	0
2024-00001859	5	19	1	34	SE	19	Cardiac Respritory Arrest	1
2024-00002331	5	19	1	34	SE	19	Cardiac Respritory Arrest	1
2024-00007525	5	19	1	34	SE	51	Body Reported	1
2024-00007524	5	19	0	191	W	64	Shots Heard	0
2024-00007526	5	19	0	191	SE	14	Follow Up	0
2024-00007527	5	19	63	191	W	8	Welfare Check	0
2024-00007528	5	19	1	191	E	7	Alarm	0
2024-00007529	5	19	0	15	S	19	911 Call Nature Unknown	0
2024-00002344	5	19	0	1	N	2	Transfer/Interfacility	1
2024-00007564	5	19	0	191	N	5	Contact a Subject	0
2024-00007530	5	19	0	191	SW	32	Burglary	0
2024-00007531	5	19	0	34	SE	6	Suspicious	0
2024-00007532	5	19	0	15	S	19	911 Call Nature Unknown	0
2024-00007534	5	19	1	191	E	6	Suspicious	0
2024-00002336	5	19	0	3	SE	2	Transfer/Interfacility	1
2024-00007533	5	19	0	191	E	1	Traffic Stop	0
2024-00001860	5	19	53	191	NW	23	Public Assist	0
2024-00001861	5	20	0	66	N	27	Medical Call Pd Requested	1
2024-00002335	5	20	0	66	N	27	Medical Call Pd Requested	1
2024-00007535	5	20	1	191	NE	8	Welfare Check	0
2024-00007536	5	20	0	191	E	48	Drunk Driver	0
2024-00007537	5	20	0	191	N	1	Traffic Stop	0
2024-00002337	5	20	0	3	SE	2	Transfer/Interfacility	1
2024-00001862	5	20	61	66	W	25	Fire Alarm	0
2024-00002339	5	20	0	2	NW	2	Transfer/Interfacility	1
2024-00007540	5	20	1	66	SE	4	Disturbance/Domestic	0
2024-00007539	5	20	0	191	N	1	Traffic Stop	0
2024-00007541	5	20	2	21	NE	6	Suspicious	0
2024-00007542	5	20	0	191	E	32	Burglary	0
2024-00007543	5	20	1	15	N	5	Contact a Subject	0
2024-00007544	5	20	3	4	NE	4	Disturbance/Domestic	0
2024-00001863	5	20	0	66	N	11	Breathing Problems	1
2024-00002340	5	20	0	66	N	11	Breathing Problems	1
2024-00001864	5	21	0	66	N	51	Heart Problems/AICD	1
2024-00002343	5	21	0	66	N	51	Heart Problems/AICD	1
2024-00007545	5	21	0	191	SE	4	Disturbance/Domestic	0
2024-00007546	5	21	3	11	NE	51	Open Door/Premises Check	0
2024-00001865	5	21	2	66	NE	27	Medical Call Pd Requested	1
2024-00002345	5	21	2	66	NE	27	Medical Call Pd Requested	1
2024-00001866	5	21	0	34	SE	11	Breathing Problems	1
2024-00002346	5	21	0	34	SE	11	Breathing Problems	1
2024-00007547	5	21	0	191	SE	5	Contact a Subject	0
2024-00007548	5	21	0	7	SE	9	Larceny	0
2024-00007549	5	21	3	7	NE	8	Welfare Check	0
2024-00007550	5	21	0	66	S	1	Traffic Stop	0
2024-00002347	5	21	0	2	NW	2	Transfer/Interfacility	1
2024-00007551	5	21	0	7	SE	9	Larceny	0
2024-00007552	5	21	0	7	SE	32	Motorist Assist	0
2024-00007553	5	22	0	66	N	1	Traffic Stop	0
2024-00007554	5	22	0	191	S	1	Traffic Stop	0
2024-00001867	5	22	3	7	NE	3	Sick Person	1
2024-00002348	5	22	3	7	NE	3	Sick Person	1
2024-00007556	5	22	3	7	NE	4	Disturbance/Domestic	1
2024-00007555	5	22	0	191	SE	1	Traffic Stop	0
2024-00002349	5	22	0	1	N	2	Transfer/Interfacility	1
2024-00007557	5	22	1	191	N	8	Welfare Check	0
2024-00002351	5	22	0	1	N	2	Transfer/Interfacility	1
2024-00007558	5	22	1	66	E	6	Suspicious	0
2024-00007562	5	22	0	191	W	6	Suspicious	0
2024-00007559	5	22	0	191	E	5	Contact a Subject	0
2024-00001868	5	22	0	66	NW	51	Back Pain	1
2024-00002350	5	22	0	66	NW	51	Back Pain	1
2024-00007560	5	22	0	191	SE	5	Contact a Subject	0
2024-00007561	5	22	0	66	E	5	Contact a Subject	0
2024-00007565	5	22	0	191	SW	7	Alarm	0
2024-00007563	5	22	1	191	SE	1	Traffic Stop	0
2024-00001869	5	22	0	34	W	23	Public Assist	0
2024-00007567	5	22	2	191	NE	7	Alarm	0
2024-00001870	5	22	0	34	SE	3	Sick Person	1
2024-00002353	5	22	0	34	SE	3	Sick Person	1
2024-00007566	5	22	0	34	SE	5	Contact a Subject	1
2024-00002352	5	22	0	1	N	2	Transfer/Interfacility	1
2024-00007568	5	22	0	191	NW	1	Traffic Stop	0
2024-00007570	5	23	0	191	NE	14	Follow Up	0
2024-00007569	5	23	0	191	NW	32	Motorist Assist	0
2024-00007571	5	23	1	191	NE	1	Traffic Stop	0
2024-00007572	5	23	1	191	SW	13	Check Area	0
2024-00007574	5	23	1	191	SE	4	Disturbance/Domestic	0
2024-00007573	5	23	1	191	NE	1	Traffic Stop	0
2024-00007575	5	23	1	191	W	1	Traffic Stop	0
2024-00007576	5	23	1	66	N	6	Suspicious	0
2024-00007577	5	23	3	66	N	38	Noise Complaint	0
2024-00007578	5	23	0	191	S	1	Traffic Stop	0
2024-00007579	5	23	3	66	N	13	Check Area	0
2024-00007580	5	23	1	191	SE	32	Motorist Assist	0
2024-00007581	5	23	1	191	SE	13	Check Area	0
2024-00007836	7	0	3	66	W	13	Check Area	0
2024-00001926	7	0	3	34	E	32	Convulsion/Seizure	1
2024-00002430	7	0	3	34	E	32	Convulsion/Seizure	1
2024-00007837	7	0	0	66	N	4	Disturbance/Domestic	0
2024-00001927	7	0	3	34	S	19	Unconscious/Fainting	1
2024-00002431	7	0	3	34	S	19	Unconscious/Fainting	1
2024-00007838	7	0	51	191	W	14	Follow Up	0
2024-00002436	7	0	3	5	N	2	Transfer/Interfacility	1
2024-00007839	7	0	3	191	NW	6	Suspicious	0
2024-00007840	7	0	3	15	S	27	Fraud	0
2024-00001928	7	0	3	34	NW	27	Assault EMS Needed	1
2024-00002432	7	0	3	34	NW	27	Assault EMS Needed	1
2024-00007841	7	0	3	34	NW	4	Disturbance/Domestic	1
2024-00007842	7	0	0	66	N	4	Disturbance/Domestic	0
2024-00007843	7	1	3	191	N	73	Drug Violation	0
2024-00007844	7	1	0	191	NE	42	Vandalism	0
2024-00007845	7	1	1	21	NE	38	Noise Complaint	0
2024-00002437	7	1	3	2	NW	2	Transfer/Interfacility	1
2024-00001929	7	1	0	21	W	27	Assault EMS Needed	1
2024-00002434	7	1	0	21	W	27	Assault EMS Needed	1
2024-00002435	7	1	0	21	W	27	Assault EMS Needed	1
2024-00007846	7	1	0	21	W	73	Fight	1
2024-00007847	7	1	3	191	SW	38	Mutual Aid	0
2024-00007848	7	1	3	11	NE	6	Suspicious	0
2024-00001930	7	1	2	191	NE	23	Public Assist	0
2024-00007849	7	2	53	191	SE	4	Disturbance/Domestic	0
2024-00001931	7	2	3	21	N	27	MVA With Injuries	1
2024-00002438	7	2	3	21	N	27	MVA With Injuries	1
2024-00007850	7	2	3	21	N	27	MVA With Injuries	1
2024-00007851	7	2	0	191	E	48	Drunk Driver	0
2024-00007852	7	2	55	191	N	38	Noise Complaint	0
2024-00007855	7	2	71	191	W	13	Check Area	0
2024-00001933	7	2	3	21	N	27	Assault EMS Needed	1
2024-00002440	7	2	3	21	N	27	Assault EMS Needed	1
2024-00007853	7	2	3	21	N	4	Disturbance/Domestic	1
2024-00007854	7	2	55	191	NW	7	Alarm	0
2024-00001932	7	2	55	66	N	11	Breathing Problems	1
2024-00002439	7	2	55	66	N	11	Breathing Problems	1
2024-00007867	7	2	53	3	SE	45	Escort/Transport	0
2024-00007856	7	2	55	191	N	4	Disturbance/Domestic	0
2024-00007857	7	2	55	66	NW	4	Disturbance/Domestic	0
2024-00007858	7	3	1	191	S	6	Suspicious	0
2024-00007860	7	3	0	4	NE	6	Suspicious	0
2024-00007859	7	3	3	21	N	4	Disturbance/Domestic	0
2024-00001934	7	3	51	34	E	64	Traumatic Injury	1
2024-00002441	7	3	51	34	E	64	Traumatic Injury	1
2024-00007861	7	3	51	34	E	32	Hit and Run	1
2024-00001935	7	3	1	21	W	51	Heart Problems/AICD	1
2024-00002442	7	3	1	21	W	51	Heart Problems/AICD	1
2024-00002443	7	3	51	3	SE	2	Transfer/Interfacility	1
2024-00007862	7	3	3	191	N	73	Stake Out	0
2024-00007864	7	3	51	15	S	5	Contact a Subject	0
2024-00007863	7	4	51	34	N	8	Welfare Check	0
2024-00002446	7	4	51	1	N	2	Transfer/Interfacility	1
2024-00001936	7	4	51	15	NW	10	Falls	1
2024-00002444	7	4	51	15	NW	10	Falls	1
2024-00007866	7	4	51	66	SW	73	Barking Dog	0
2024-00002445	7	4	51	5	N	2	Transfer/Interfacility	1
2024-00007865	7	4	51	66	SW	7	Alarm	0
2024-00007868	7	5	0	191	E	7	Alarm	0
